id|cte_numero|frete_valor|frequencia_semanal|distancia_km|duracao_min|data_hora|custo_km|custo_mensal|id_filial|id_transportadora|id_cliente|id_produto|id_regiao
734fb1f6-1d6d-47f7-8c9f-f47946ae95d2|CTE001|1015.0|2|439.65|307.65|2025-06-29T17:42:17.266204|2.308654611622882|8120.0|372765ca-7654-433b-aed6-bcd304cfb5c0|dbeb04c3-ef7c-4638-8a3e-b9a949c74b51|2a1e24a8-fab9-4caa-9b7b-fdf7c26444bc|3e1ac779-f3ad-446f-91ad-79eefbf1a9ea|c7b41bc7-e11f-4389-83c7-beafc1f70ad3
ec3b1373-65d0-433e-9bc6-34d1a2bd65d9|CTE002|1030.0|3|1539.44|1184.55|2025-06-29T17:42:17.855764|0.6690744686379463|12360.0|933f0630-57b1-403e-b2a8-5cb615818e64|c9afc5d8-d442-4c3d-8f0f-711e2384f7eb|969a2d6b-984d-4492-bc83-a9e10bd3d65d|0d01e6b3-80ab-40c4-9b59-f86fe1690ca3|aa910cbe-820d-412d-a833-5b76209bcb6b
82ec7b96-0bc1-4b84-9d36-20d595c31632|CTE003|1045.0|4|93.94|73.17|2025-06-29T17:42:18.151794|11.124121779859484|16720.0|8be3d320-f723-4fb4-a26c-2dc7d6654371|3b2587fb-af1a-41eb-9979-998911232726|1f126e9e-2792-42b7-8727-d2fd441ad739|cc603c13-a46d-4fa0-aae6-d8bf78417f3f|56742a28-1b24-48d8-89aa-df6fd6de6778
b0ea61ee-26c6-4fe6-b729-2c760dddcbd3|CTE004|1060.0|5|439.65|307.65|2025-06-29T17:42:18.444251|2.4110087569657686|21200.0|372765ca-7654-433b-aed6-bcd304cfb5c0|dbeb04c3-ef7c-4638-8a3e-b9a949c74b51|2a1e24a8-fab9-4caa-9b7b-fdf7c26444bc|3e1ac779-f3ad-446f-91ad-79eefbf1a9ea|c7b41bc7-e11f-4389-83c7-beafc1f70ad3
0f164d6a-ccd6-4b49-a475-6ee372cca187|CTE005|1075.0|1|1539.44|1184.55|2025-06-29T17:42:18.805438|0.6983058774619342|4300.0|933f0630-57b1-403e-b2a8-5cb615818e64|c9afc5d8-d442-4c3d-8f0f-711e2384f7eb|969a2d6b-984d-4492-bc83-a9e10bd3d65d|0d01e6b3-80ab-40c4-9b59-f86fe1690ca3|aa910cbe-820d-412d-a833-5b76209bcb6b
16ba1fc7-19eb-4cf9-b729-a3d82ff1a578|CTE006|1090.0|2|93.94|73.17|2025-06-29T17:42:19.078444|11.603150947413242|8720.0|8be3d320-f723-4fb4-a26c-2dc7d6654371|3b2587fb-af1a-41eb-9979-998911232726|1f126e9e-2792-42b7-8727-d2fd441ad739|cc603c13-a46d-4fa0-aae6-d8bf78417f3f|56742a28-1b24-48d8-89aa-df6fd6de6778
94394619-b7b3-4536-9331-c67f1587d050|CTE007|1105.0|3|439.65|307.65|2025-06-29T17:42:19.420274|2.513362902308655|13260.0|372765ca-7654-433b-aed6-bcd304cfb5c0|dbeb04c3-ef7c-4638-8a3e-b9a949c74b51|2a1e24a8-fab9-4caa-9b7b-fdf7c26444bc|3e1ac779-f3ad-446f-91ad-79eefbf1a9ea|c7b41bc7-e11f-4389-83c7-beafc1f70ad3
95a6d95a-60ce-4b77-ba39-dea50d02a167|CTE008|1120.0|4|1539.44|1184.55|2025-06-29T17:42:19.770638|0.7275372862859222|17920.0|933f0630-57b1-403e-b2a8-5cb615818e64|c9afc5d8-d442-4c3d-8f0f-711e2384f7eb|969a2d6b-984d-4492-bc83-a9e10bd3d65d|0d01e6b3-80ab-40c4-9b59-f86fe1690ca3|aa910cbe-820d-412d-a833-5b76209bcb6b
5a972656-cbde-4065-b99b-ccb6ee1c2a92|CTE009|1135.0|5|93.94|73.17|2025-06-29T17:42:20.045743|12.082180114967|22700.0|8be3d320-f723-4fb4-a26c-2dc7d6654371|3b2587fb-af1a-41eb-9979-998911232726|1f126e9e-2792-42b7-8727-d2fd441ad739|cc603c13-a46d-4fa0-aae6-d8bf78417f3f|56742a28-1b24-48d8-89aa-df6fd6de6778
067cdea9-e6c3-4e6d-9d9d-f383f795589d|CTE010|1150.0|1|439.65|307.65|2025-06-29T17:42:20.451790|2.615717047651541|4600.0|372765ca-7654-433b-aed6-bcd304cfb5c0|dbeb04c3-ef7c-4638-8a3e-b9a949c74b51|2a1e24a8-fab9-4caa-9b7b-fdf7c26444bc|3e1ac779-f3ad-446f-91ad-79eefbf1a9ea|c7b41bc7-e11f-4389-83c7-beafc1f70ad3
9d3e3c45-348d-495c-bf76-c3052877630e|CTE011|1165.0|2|1539.44|1184.55|2025-06-29T17:42:20.805414|0.7567686951099101|9320.0|933f0630-57b1-403e-b2a8-5cb615818e64|c9afc5d8-d442-4c3d-8f0f-711e2384f7eb|969a2d6b-984d-4492-bc83-a9e10bd3d65d|0d01e6b3-80ab-40c4-9b59-f86fe1690ca3|aa910cbe-820d-412d-a833-5b76209bcb6b
9a60f486-5ad4-418f-9b45-366b26dbc16d|CTE012|1180.0|3|93.94|73.17|2025-06-29T17:42:21.071822|12.561209282520759|14160.0|8be3d320-f723-4fb4-a26c-2dc7d6654371|3b2587fb-af1a-41eb-9979-998911232726|1f126e9e-2792-42b7-8727-d2fd441ad739|cc603c13-a46d-4fa0-aae6-d8bf78417f3f|56742a28-1b24-48d8-89aa-df6fd6de6778
